ID,NAME,ORGANIZATION,CATEGORY,DESCRIPTION,ADDRESS,CITY,ZIP_CODE,URL,PHONE,EMAIL,ELIGIBILITY_CRITERIA,APPOINTMENT_REQUIRED,REFERRAL_REQUIRED_FROM,START_DATE,END_DATE,IS_ALWAYS_OPEN,OPEN_HOURS_USER_INPUT,INTERNAL_NOTES,LAST_MODIFIED_DATETIME
345,PARS Social Services,PARS Equality Center,"Benefits,Housing,Employment","This program provides educational resources to help in easing the process of assimilating to life in the United States for Persian speaking immigrants and other low income immigrants.

Their Social Adjustment Case Management provides help with applying for government benefits, tax preparation, and housing searches.  

Pars also has career services programs for entrepreneurs, career development, and job searching.

A Silver Club designed for Persian-speaking immigrants aged 55+ who live in isolation and disconnect due to lingual, cultural, and financial barriers offers classes in:

    Meditation
    Yoga
    Aerobics
    Poetry
    Art
    Group Singing and Dancing
    Nutrition",1635 The Alameda,San Jose,95126,https://parsequalitycenter.org/what-we-do/social-services/San-Jose/,(408) 261- 6400,info@parsequalitycenter.org,,checked,,,,,,Add to new category/subcategory Tax Preparation.  Also add to Senior Services category or something relevant.,11/27/2022 2:25 PM
429,Silicon Valley Independent Living Center (SVILC),,"Housing,Employment,Benefits,Medical","Provides benefits information & referrals, counseling, housing referrals and placement, independent living skills, individual and systems advocacy, personal assistant services, specialized services, therapeutic recreation and vocational services for the developmentally disabled.","25 N. 14th Street, #1000",San Jose,95112,https://svilc.org/,(408) 894-9041,,,,,,,,,"I'm not certain that I entered the correct address.  I couldn't find a URL for the organization and there were multiple addresses on different sites.

I'm unsure if Mental Health is a correct category.  You should look at the Description to see if other categories are needed.",5/3/2023 3:16 PM
428,Sacred Heart Community Service (SHCS),,"Housing,Food,Financial,Personal Care,Benefits","Job development and placement, clothes, rental assistance, mortgage assistance, utility assistance, tax preparation, education, applying for public benefits, homeless bag lunches. (Food boxes for residents of zip codes 95110, 95117, 95125-6, 95128, 95134.) Computer and English classes.",1381 South First Street,San Jose,95110,https://www.sacredheartcs.org/programs,(408) 278-2160,,,,,,,,"Mon 8am -4pm
Tue 8am -4pm
Wed 8am -4pm
Thur 8am -4pm
Fri 8am-12pm Sat: 9am-12pm","Add to Education, Rental Assistance, Mortgage Assistance, Utility Assistance categories or subcategories.

I did not add a new record for each program.",12/8/2022 7:53 PM
152,Veteran Family Services (VFS),Goodwill of Silicon Valley,"Housing,Benefits,Financial,Transportation","Helps Veterans and their families who are homeless or at risk of becoming homeless  transition into stable housing.

Services provided include:

o    Financial assistance
o    Access to VA benefits
o    Family counseling
o    Transportation
o    Public benefits
o   Housing",,,,https://goodwillsv.org/vfs-program/,,gwsvvfs@gmail.com,"o  Valid identification (military ID, passport, state ID)
o  Social security card (for each family member)
o  DD 214
o  Must meet certain income criteria and provide verification of ALL household income
o  Must provide bank statements
o  Copy of current lease/rental agreement
o  Eviction notice (If applicable)
o  Can be a single Veteran or a family with children
o  Veterans who have served 24 months of active duty. Discharge can be anything but “Dishonorable”",,,,,,,,10/28/2022 3:08 PM
339,Homeless Services,"Community Services Agency (CSA) of Mountain View, Los Altos, and Los Altos Hills","Food,Housing,Benefits","CSA homeless case managers assist with:

o  Information to locate and secure affordable housing
o  Assistance with benefits and health services
o  Financial assistance with one month’s rent once clients secure employment and a place to live that fits within their budget
o  Food is also available through the Food & Nutrition Center",204 Stierlin Road,Mountain View,94043,https://www.csacares.org/services/homeless-services/,(650) 968-0836,,"Must be a low income resident of Mountain View, Los Altos, or Los Altos Hills.",,,,,,"Mon 9am - 12pm, 1pm - 4pm
Tue 9am - 12pm, 1pm - 4pm
Wed 9am - 12pm, 1pm - 4pm
Thur 9am - 12pm, 1pm - 4pm
Fri  9am - 12pm, 1pm - 4pm","I did not select Medical since the CSA does not provide medical care, but provides assistance with health services - I'm thinking they provide clients with the information to possibly access care, but not the care itself.  This might be wrong, or a new new category/subcategory might need to be created.",11/27/2022 12:19 PM
439,Asian Law Alliance,,"Benefits,Housing","Offers legal services including: housing, public benefits, immigration and citizenship, protection for domestic violence victims and civil rights.

ALA programs are designed to make legal services accessible to Asian/Pacific and low income people.","991 W. Hedding Street, #202",San Jose,95126,https://asianlawalliance.org/,(408) 287-9710,,,,,,,,"Mon 9am - 12pm, 1pm - 5pm
Tue 9am - 12pm, 1pm - 5pm
Wed 9am - 12pm, 1pm - 5pm
Thur 9am - 12pm, 1pm - 5pm
Fri 9am - 12pm, 1pm - 5pm","Please add to Legal Services category.  Also add to  Immigration, Citizenship, Domestic Violence, Civil Rights subcategories.

The site says that intakes must be scheduled by phone, so they likely require appointments.  They also have intake hours on the site.",5/3/2023 3:16 PM
354,Career Technical Education,The Mountain View Los Altos (MVLA) Adult School,Documents,"MVLA Adult School offers comprehensive training programs and career pathways in the following industry sectors:

o Health Science and Medical Technology
o Business and Finance
o Information and Communication Technologies",333 Moffett Boulevard,Mountain View,94043,https://as.mvla.net/Registration/Programs/Career-Technical-Education/index.html,(650) 940-1333,maliheh.vafai@mvla.net,,,,,,,,"Add to Education category.  Do you want to add subcategories:

Health Science and Medical Technology
Business and Finance
Information and Communication

The site refers users to an online registration site since classes are on-going throughout the year, so I did not add times and days for classes.",11/27/2022 5:16 PM
115,Citizenship Classes,,Documents,"Prepares participants to take both the oral and written examinations for U.S. Citizenship. Students study American History, Geography and Civics.","1897 Alum Rock Avenue, #35",San Jose,95116,https://www.amigoscenter.com/immigration,(408) 341-6080,info@amigosdeguadalupe.org,,,,,,,"Mon 6pm-7pm
Wed 6pm-7pm","I was unsure what category to put this under, so put it under documents.",10/24/2022 5:45 PM
357,Community Interest and Older Adults,The Mountain View Los Altos (MVLA) Adult School,Documents,"Some of the classes offered in this program include:

o Current Events, History & Genealogy
o Music and Dance
o Needle Arts and Sewing
o Physical Fitness and Lifestyle Wellness",333 Moffett Boulevard,Mountain View,94043,https://as.mvla.net/Registration/Programs/Community-Interest-and-Older-Adults/index.html,(650) 940-1333,adulted@mvla.net,"Classes are open to residents and non-residents 18 years and older. High school enrolled students, 16 years and older, may register for an adult education class for credit after getting approval from their home school and the Adult School office prior to registering or attending.",,,,,,,"Add to Education category.

I'm not sure this should be in the db, but it is a program from the Los Altos Resources pdf.",11/27/2022 6:01 PM
116,English as a Second Language (ESL) Class,Amigos de Guadalupe,Documents,"ESL classes support families in pursuing job opportunities, communicating with others in the community, in school, etc. The ESL teacher will cater the interactive curriculum to the different styles of learning in the class to ensure an inclusive and supportive learning environment for all participants.","1897 Alum Rock Avenue, #35",San Jose,95116,https://www.amigoscenter.com/immigration,(408) 341-6080,info@amigosdeguadalupe.org,,,,,,,"Mon 7:30pm - 8:30pm
Wed 7:30pm - 8:30pm",,10/24/2022 5:58 PM
353,ESL and Citizenship,The Mountain View Los Altos (MVLA) Adult School,Documents,"The ESL and Citizenship program offers classes in the following:

o English as a Second Language (ESL)
o ESL Placement Test Registration
o Citizenship Preparation

Some ESL Placement Test Registration are also offered at the Mountain View Senior Center.",333 Moffett Boulevard,Mountain View,94043,https://as.mvla.net/Registration/Programs/ESL-and-Citizenship/index.html,(650) 940-1333,adulted@mvla.net,,,,,,,,"Add to Education category + ESL subcategory + Citizenship subcategory and remove from Documents category.

This site has loads of requirements and specific class times related to specfic dates.  It will likely be obsolete by the time this db is public.  It would be better to direct people to the site and let the site be responsible for updating information rather than us also inputting it and having it become obsolete every 3-4 months.

I didn't add a separate record for every class.  Can we accomplish the same thing with the categories and subcategories?",11/27/2022 5:05 PM
117,Free Immigration Consultation,Amigos de Guadalupe,Documents,"This is a free consultation (in English and Spanish) with an immigration attorney.

Services provided at low cost include:

*  Deferred Action for Childhood Arrivals (DACA) Applications
*  Fee Waiver requests for immigration applications
*  U-Visas
*  FBI Background Checks and FOIA Requests
*  Work permit renewal applications
*  Naturalization application assistance
*  One step form I-30 and I-485 adjustment of status
*  Translation of legal documents","1897 Alum Rock Avenue, #35",San Jose,95116,https://www.amigoscenter.com/immigration,(408) 341-6080,info@amigosdeguadalupe.org,,,,,,,"Mon 9am - 5pm
Tue 9am - 5pm
Wed 9am - 5pm
Thur 9am - 5pm
Fri 9am - 5pm",Should possibly be put in an immigration category.,10/24/2022 6:23 PM
352,GED,The Mountain View Los Altos (MVLA) Adult School,Documents,"Provides:
o GED test preparation classes
o GED testing",333 Moffett Boulevard,Mountain View,94043,https://as.mvla.net/Registration/Programs/GED/index.html,(650) 940-1333 ext 4104,danielle.dinh@mvla.net,,,,,,,,"They have not offered classes or test dates since June 2022, so I did not enter the time and day information.

Move to Education category and GED subcategory.",11/27/2022 5:01 PM
355,High School Diploma,The Mountain View Los Altos (MVLA) Adult School,Documents,"MVLA offers the following programs for students wishing to obtain a High School Diploma:

o High School Diploma Distance Learning Program for Adults
o Concurrent Enrollment/Online Credit Recovery
o Young Parents Program",333 Moffett Boulevard,Mountain View,94043,https://as.mvla.net/Registration/Programs/High-School-Diploma/index.html,(650) 940-1333,danielle.dinh@mvla.net,,,,,,,,Add to Education category and High School Diploma subcategory.,11/27/2022 5:45 PM
401,Immigration and Legal Services (ILS),Catholic Charities of Santa Clara County,Documents,"ILS provides quality immigration legal services to those in need.  Services include:

o  Immigration legal services for immigrant individuals and their families
o  Legal Permanent Resident/ Green Card,
o  US citizenship, Immigrant Relative Petition
o  Deferred Action for Childhood Arrival (DACA)
o  Violence Against Women's Act (VAWA)
o  U-Visa",7950 Church Street,Gilroy,95020,https://www.ccscc.org/immigration-legal-services,(408) 842-4808,ccimmigration@catholiccharitiesscc.org,"Low to moderate income residents residents of Gilroy, San Martin or Morgan Hill.",,,,,,"Mon 9am - 5pm
Tue 9am - 5pm
Wed 9am - 5pm
Thur 9am - 5pm
Fri 9am - 5pm",Please add to Legal Services category and possibly Immigration and Citizenship.,11/30/2022 7:54 PM
400,Immigration and Legal Services (ILS),Catholic Charities of Santa Clara County,Documents,"ILS provides quality immigration legal services to those in need.  Services include:

o  Immigration legal services for immigrant individuals and their families
o  Legal Permanent Resident/ Green Card,
o  US citizenship, Immigrant Relative Petition
o  Deferred Action for Childhood Arrival (DACA)
o  Violence Against Women's Act (VAWA)
o  U-Visa","2625 Zanker Road, Suite 201",San Jose,95134,https://www.ccscc.org/immigration-legal-services,(408) 468-0100,ccimmigration@catholiccharitiesscc.org,Low to moderate income residents of Santa Clara County.,,,,,,"Mon 9am - 5pm
Tue 9am - 5pm
Wed 9am - 5pm
Thur 9am - 5pm
Fri 9am - 5pm",Please add to Legal Services category and possibly Immigration.,11/30/2022 7:44 PM
311,Legal Advocates for Children & Youth (LACY),The Law Foundation of Silicon Valley,Documents,"This program provides free and confidential legal assistance to children and youth in juvenile dependency, family law, probate guardianship, education matters, and numerous other practice areas; advocacy to improve court and community systems designed to protect and promote child welfare; and workshops to educate youth, parents, caregivers and members of the community about issues impacting child welfare and legal rights.","4 North Second Street, Suite 1300",San Jose,95113,https://www.lawfoundation.org/legal-advocates-for-children-youth-lacy,(408) 280-2416,,Must be 0 - 21 years of age and a Santa Clara County resident.,,,,,,,Put in Legal Services category and Children and Youth category.,11/19/2022 5:45 PM
344,Legal Services,Pars Equality Center,Documents,"Pars Equality Center provides high-quality, affordable legal immigration services, advocacy, and education to Persian speaking and other low-income immigrant communities.

The Pars Equality Center is located in the Daryabari Iranian Community Center.",1635 The Alameda,San Jose,95126,https://parsequalitycenter.org/what-we-do/legal-services/,(408) 261-6405,info@parsequalitycenter.org,,checked,,,,,,Add to Legal Services category with subcategory of Immigration.,11/27/2022 1:53 PM
356,Parent Education,The Mountain View Los Altos (MVLA) Adult School,Documents,Parent Education includes parent and child classes as well as parent participation preschool programs.,333 Moffett Boulevard,Mountain View,94043,https://as.mvla.net/Registration/Programs/Parent-Education/index.html,(650) 940-1333,adulted@mvla.net,,,,,,,,"Add to Education category and Parent Education? subcategory.

There were no classes or information on this page.",11/27/2022 5:51 PM
416,Pro Bono Project Silicon Valley,,Documents,"Pro Bono Project is dedicated to representing clients of limited means and improving their access to justice. They focus on limited scope pro bono cases in family law, domestic violence, and consumer law.","25 N. 14th Street, Suite 506",San Jose,95112,https://www.probonoproject.org/,(408) 998-5298,,,checked,,,,,,Put in Legal Services category.,12/7/2022 7:32 PM
187,Rapid Response Network (RRN) 24/7 Hotline,Amigos de Guadalupe Center for Justice & Empowerment,Documents,"The Rapid Response Network (RRN) in Santa Clara County is a community defense project developed to protect immigrant families from deportation threats and to provide accompaniment support during and after a community member’s arrest or detention.

Anyone can call the hotline 24/7 to report ICE activity in Santa Clara County and receive help in real time.","1897 Alum Rock Avenue, #35",San Jose,95116,https://www.amigoscenter.com/rapid-respon,(408) 290-1144,info@amigosdeguadalupe.org,,,,,,checked,,"The phone number is for the 24/7 hotline.

Should this go under a new category - Legal?",10/30/2022 5:21 PM
312,The Law Foundation of Silicon Valley Health Program,The Law Foundation of Silicon Valley,Documents,"The The Law Foundation of Silicon Valley Health Program provides free legal advice and representation to individuals in Santa Clara County who identify as living with mental health, developmental disabilities and/or HIV/AIDS. They also provide free legal help to patients of Valley Homeless Health Program, Valley Specialty Center, Gender Health Center, and to people experiencing homelessness in Santa Clara County.","4 North Second Street, Suite 1300",San Jose,95113,https://www.lawfoundation.org/health-program,(408) 280-2420,healthintake@lawfoundation.org,Please refer to the Description above.,,,,,,"Phone intake hours: 
Mon 9am - 12pm, 1pm - 4pm
Tue 9am - 12pm, 1pm - 4pm
Wed 9am - 12pm, 1pm - 4pm
Thur 9am - 12pm, 1pm - 4pm
Fri 9am - 12pm, 1pm - 4pm

Walk-in hours:
Tue 1pm - 4pm
Thur 1pm - 4pm",Put in Legal Services category or something similar.,11/19/2022 5:59 PM
172,Adult Basic and Secondary Education Classes,Milpitas Adult Education,Employment,"This program is part of the Milpitas Adult Education's High School Equivalency Program.  It provides free preparatory classes to help students build reading, writing, and math skills.  Classes serve adults who wish to develop the skills needed to reach their educational, professional and personal goals.","1331 E. Calaveras Boulevard, Bldg 400",Milpitas,95035,https://adulted.musd.org/high-school-equivalency,(408) 635-2692 x4501,mae@musd.org,"F-1 (I-20) students, B-1, and B-2 visa holders are prohibited from attending publicly-funded adult education programs in the United States.",checked,,,,,"Mon 9am - 12:15pm
Tue 9am - 12:15pm
Wed 9am - 12:15pm
Thur 9am - 12:15pm
Fri 9am - 12:15pm

or

Tue 6 pm - 8:30pm
Thur 6 pm - 8:30pm",Put in new category Education?,5/3/2023 3:18 PM
184,After School Safety and Enrichment for Teens (ASSETs),Goodwill of Silicon Valley,Employment,"The ASSETs program is offered after school, attendance is voluntary, and each student receives a free meal.  Provides students in grades nine through twelve with academic enrichment opportunities and activities designed to complement the student's regular academic program and that support college and career readiness, assist with literacy and related educational development services for families of these students, and provide a safe environment for students participating in their programs.

This program is available in four East Side Union
High School District high schools.",,,,https://goodwillsv.org/youth-programs/,(408) 869-9249,,Must be a high school student enrolled in a East Side Union High School District high school which offers the program.,,,,,,,"Put in an Education category and probably delete the category that I assign it to.

This record needs more work.  Which ESUHSD high schools offer this program and what are the program hours?",10/30/2022 4:28 PM
169,Automotive Specialist,Center for Employment Training (CET),Employment,"Teaches the skills needed for an entry-level job in the field of automotive repair. Students learn automotive theory, OSHA safety standards, customer service and auto-related math. After learning how to troubleshoot carburetor systems, emission control systems, and brake systems, students will be assigned hands-on projects to do the necessary repairs.",701 Vine Street,San Jose,95110,https://cetweb.edu/program/automotive-specialist/,(408) 534-5360,,,,,,,,"Mon 8am–5pm
Tue 8am–5pm
Wed 8am–5pm
Thur 8am–5pm
Fri 8am–5pm",Administrative hours given for this record.  Class hours may be scheduled through 9pm.,10/29/2022 2:15 PM
154,Career Development Program,Goodwill of Silicon Valley,Employment,"Provides opportunities for job seekers and individuals with barriers to obtaining and retaining employment.  This is a is a six month paid work program thay provides work experience, employability skills training, and other supportive services.",,,,https://cdp.goodwillsv.org/,,,,,,,,,,,10/28/2022 3:29 PM
160,Career Launch Program,Neurodiversity Pathways,Employment,An online program that educates and supports neurodiverse individuals to help launch their career.,,,,https://ndpathways.org/clp/,(408) 869-9265,NDPrograms@goodwillsv.org,"Clients must:

o  Be neurodiverse
o  Hold a two or four year college degree (or equivalent).
o  Be underemployed or unemployed
o  Need the knowledge and support to strengthen their motivation and drive to reach the goal.",,,,,,,,10/29/2022 11:07 AM
161,Career Readiness Training,Neurodiversity Pathways,Employment,"An online, 17 week program for neurodiverse job seekers that offers courses in strategies and tactics for employment search, career management, and professional growth.",,,,https://ndpathways.org/crt/,(408) 869-9265,NDPrograms@goodwillsv.org,"Must:
o  Be neurodiverse
o  Hold a two or four year college degree (or equivalent)o  Be currently underemployed or unemployed
o  Have set the goal to get a job and be good at it
o  Need the knowledge to strengthen your motivation and drive to reach the goal
o  Want flexibility in setting the pace and intensity of training",,,,,,,,10/29/2022 11:35 AM
143,Career Training Programs,Goodwill of Silicon Valley,Employment,Variety of career training programs,885 El Camino Real,Mountain View,94040,goodwillsv.org,(650) 969-3382,,Adult,,,,,,"	
Sunday	        10AM–8PM
Monday	        10AM–8PM
Tuesday	        10AM–8PM
Wednesday	10AM–8PM
Thursday	10AM–8PM
Friday	        10AM–8PM
Saturday	        10AM–8PM
",,5/3/2023 3:19 PM
397,Catholic Charities Employment Network (CCEN),Catholic Charities of Santa Clara County,Employment,"The programs offer individual and group employment preparation services that include resume writing, job application, mock interviews, informational interviews, and/or hygiene and grooming appropriate to meet employment expectations, employer/employee relationships, and/or overcoming any other identified barriers to employment.

Placements are in every industry in Santa Clara County such as retail, food, construction, tech, education, healthcare, legal, hospitality, and service. ","2625 Zanker Road, Suite 201",San Jose,95134,https://www.ccscc.org/employment-network,(408) 325-5285,,,,,,,,"Mon 9am - 5pm
Tue 9am - 5pm
Wed 9am - 5pm
Thur 9am - 5pm
Fri 9am - 5pm",,11/30/2022 7:18 PM
492,Center for Training and Careers (CTC),Escuela Popular (EP),Employment,"Escuela Popular Center for Training and Careers (CTC) serves students over the age of 19 who may be:

o  Recent immigrants
o  Working parents, some who are single parents
o  Full-time working adults
o  Out-of-school students who find it difficult to be successful in large comprehensive high school

A free on-site childcare center is available for student's children while they are in class.",149 North White Road,San Jose,95127,https://www.escuelapopular.org/high-school-academy-19-and-over-2/,(408) 275-7191,patricia@escuelapopular.org,Must be over the age of 19.,,,,,,,"This record needs more work.  I could not find any verbiage as to what type of instruction is provided.

Please modify the category and subcategories.",3/10/2023 12:34 PM
127,ConXión Youth Employment Services (YES),ConXión,Employment,"ConXión's Youth Employment Services (YES) include:

o  Full or part-time employment services for youth ages 14-24 
o  Work Readiness workshops AM or PM 
o  Career interest assessment
o  Job training referrals and job placement assistance 
o  ServSafe Certification

This program is available to youth who are most at risk for gang involvement through the San Jose Mayor's Gang Prevention Task Force Strategic Work Plan and Bringing Everyone's Strength Together (BEST).","749 Story Road, Suite 10",San Jose,95122,https://www.conxion.org/youth/#SJBEST,408-213-0961 ext 39,MAburto@conxion.org,,,,,,,,"Probably should add a category like Gang Prevention and add this to it.

I don't know if a referral or appointment are needed.",10/25/2022 6:13 PM
164,Culinary Job Training Program,Center for Employment Training (CET),Employment,"This program teaches cooking and baking skills in a professional kitchen. This culinary arts school gives you hands-on job training to prepare you for entry-level jobs such as prep-cook, line cook or as a pastry cook assistant.",701 Vine Street,San Jose,95110,https://cetweb.edu/program/culinary-arts/,(408) 534-5360,,,,,,,,"Mon 8am–5pm
Tue 8am–5pm
Wed 8am–5pm
Thur 8am–5pm
Fri 8am–5pm",Administrative hours listed above.  Classes may be scheduled until 9pm.,10/29/2022 1:35 PM
494,Dual Language Academy TK-8th Grade,Escuela Popular,Employment,"A school serving students grades K-8 for children whose primary language is Spanish.   This school develops bilingual, bi-cultural students prepared to continue onto higher education and empowered to pursue their goals.",149 North White Road,San Jose,95127,https://www.escuelapopular.org/dual-language-tk-8th-grade/,(408) 275-7191,patricia@escuelapopular.org,,,,,,,,Remove from Employment category and put in new Education category.,3/10/2023 1:03 PM
163,Early Childhood Teacher Assistant Program,Center for Employment Training (CET),Employment,Prepares students for a job in a childcare center. You can start your career as a teacher assistant or go for self-employment as a childcare provider.,701 Vine Street,San Jose,95110,https://cetweb.edu/program/early-childhood-teacher-assistant/,(408) 534-5360,,,,,,,,"Mon 8am–5pm
Tue 8am–5pm
Wed 8am–5pm
Thur 8am–5pm
Fri 8am–5pm","Hours above are administrative hours.  Classes might be scheduled later than 5 pm.

Possibly should be put in a different training category.",10/29/2022 12:09 PM
168,Electrician (Residential and General),Center for Employment Training (CET),Employment,"Teaches residential and general electrical skills. The hands-on part of the class includes planning and installation. Students will also inspect, troubleshoot, and repair electrical systems. Upon enrollment, students willl be eligible to register for the Electrician in Training (ET) card.",701 Vine Street,San Jose,95110,https://cetweb.edu/program/electrician/,(408) 534-5360,,,,,,,,"Mon 8am–5pm
Tue 8am–5pm
Wed 8am–5pm
Thur 8am–5pm
Fri 8am–5pm",Administrative hours given for this record.  Class hours may be scheduled through 9pm.,5/3/2023 3:21 PM
64,Emmanuel House Classes,The Salvation Arm of Silicon Valley,Employment,"Classes offered to clients in:
    Financial literacy
    AA/NA
    Interview techniques 
    Job Searching
    Resume writing
",405 N. 4th Street,San Jose,95112,https://siliconvalley.salvationarmy.org/silicon_valley/emmanuel-house,(408) 282-1175,cesar.esquivel@usw.salvationarmy.org,,,,,,,,"The website says ""Emerging from COVID, we are looking to restart the classes we offer to our clients."", so I am unsure if they are currently offering classes.  I am also unsure if the classes are available to everybody or only to men participating in one of their programs.",10/17/2022 8:53 PM
